"","cell","TissueType","OncoTree1","OncoTree2","OncoTree3","OncoTree4","TNBC","name","source","celloidx","celloacs","cid","ot2","ot3","ot4","ot1","link"
"1658","task1","","Other","Unknown (UNK)","","","","TASK1","gdscDec15","TASK1","CVCL_3177","task1","unknown","","","Other","<a href='https://discovery.nci.nih.gov/cell-lines/cellminercdb/task1_cvcl_3177.html' target='_blank'>details</a>"
"1659","tc-138","bone","Bone","Ewing_sarcoma","","","","TC138","achilles","TC-138","CVCL_4Z30","tc-138","ewing sarcoma","","","Bone","<a href='https://discovery.nci.nih.gov/cell-lines/cellminercdb/tc-138_cvcl_4z30.html' target='_blank'>details</a>"
"1660","tc-205","bone","Bone","Ewing_sarcoma","","","","TC205","achilles","TC-205","CVCL_4Z31","tc-205","ewing sarcoma","","","Bone","<a href='https://discovery.nci.nih.gov/cell-lines/cellminercdb/tc-205_cvcl_4z31.html' target='_blank'>details</a>"
"1661","tc-248","sarcoma","Soft_Tissue","","","","","TC248","mdaMills","TC-248","CVCL_4Z35","tc-248","","","","Soft_Tissue","<a href='https://discovery.nci.nih.gov/cell-lines/cellminercdb/tc-248_cvcl_4z35.html' target='_blank'>details</a>"
"1662","tc-32","bone: Ewings_sarcoma-peripheral_primitive_neuroectodermal_tumour;bone;Primitive neuroectodermal tumor","Bone","Ewing Sarcoma (ES);Ewing_sarcoma","","","","TC-32;TC32","ccle;achilles;mdaMills;ancats","TC-32","CVCL_7151","tc-32","ewing sarcoma","","","Bone","<a href='https://discovery.nci.nih.gov/cell-lines/cellminercdb/tc-32_cvcl_7151.html' target='_blank'>details</a>"
"1663","tc-71","bone: Ewings_sarcoma-peripheral_primitive_neuroectodermal_tumour;bone;Ewing sarcoma","Bone","Ewing Sarcoma (ES);Ewing_sarcoma","","","","TC-71;TC71","ccle;gdscDec15;achilles;mdaMills;gdsc1;gdsc2;ancats","TC-71","CVCL_2213","tc-71","ewing sarcoma","","","Bone","<a href='https://discovery.nci.nih.gov/cell-lines/cellminercdb/tc-71_cvcl_2213.html' target='_blank'>details</a>"
"1664","tc-yik","OTHER;urogenital_system","Cervix","","","","","TC-YIK","gdscDec15;gdsc1;gdsc2","TC-YIK","CVCL_1737","tc-yik","","","","Cervix","<a href='https://discovery.nci.nih.gov/cell-lines/cellminercdb/tc-yik_cvcl_1737.html' target='_blank'>details</a>"
"1665","tc587","sarcoma","Soft_Tissue","","","","","TC587","mdaMills","TC587","CVCL_ZV62","tc587","","","","Soft_Tissue","<a href='https://discovery.nci.nih.gov/cell-lines/cellminercdb/tc587_cvcl_zv62.html' target='_blank'>details</a>"
"1666","tcc-pan2","pancreas: carcinoma;Pancreas;ascites","Pancreas","Exocrine;exocrine","Exocrine Adenocarcinoma;exocrine_adenocarcinoma","","","TCC-PAN2;TCCPAN2","ccle;prism;achilles","TCC-Pan2","CVCL_3178","tcc-pan2","exocrine","exocrine adenocarcinoma","","Pancreas","<a href='https://discovery.nci.nih.gov/cell-lines/cellminercdb/tcc-pan2_cvcl_3178.html' target='_blank'>details</a>"
"1667","tccsup","urinary_tract: transitional_cell_carcinoma;BLCA;Urinary Tract;urinary_tract;urogenital_system","Bladder_Urinary_Tract","Bladder Urothelial Carcinoma (BLCA);Bladder Carcinoma;bladder_carcinoma","Bladder Transitional Cell;bladder_transitional_cell","","","TCCSUP","ccle;gdscDec15;prism;achilles;mdaMills;gdsc1;gdsc2","TCCSUP","CVCL_1738","tccsup","bladder urothelial carcinoma;bladder carcinoma","bladder transitional cell","","Bladder_Urinary_Tract","<a href='https://discovery.nci.nih.gov/cell-lines/cellminercdb/tccsup_cvcl_1738.html' target='_blank'>details</a>"
"1668","te-1","oesophagus: squamous_cell_carcinoma;Esophagus;oesophagus;aero_dig_tract","Esophagus_Stomach","Esophageal Squamous Cell Carcinoma (ESCC);Esophagus Squamous;esophagus_squamous","","","","TE-1;TE1","ccle;gdscDec15;prism;achilles;gdsc1;gdsc2","TE-1","CVCL_1759","te-1","esophageal squamous cell carcinoma;esophagus squamous","","","Esophagus_Stomach","<a href='https://discovery.nci.nih.gov/cell-lines/cellminercdb/te-1_cvcl_1759.html' target='_blank'>details</a>"
"1669","te-10","oesophagus: squamous_cell_carcinoma;Esophagus;oesophagus;aero_dig_tract","Esophagus_Stomach","Esophageal Squamous Cell Carcinoma (ESCC);Esophagus Squamous;esophagus_squamous","","","","TE-10;TE10","ccle;gdscDec15;prism;achilles;gdsc1;gdsc2","TE-10","CVCL_1760","te-10","esophageal squamous cell carcinoma;esophagus squamous","","","Esophagus_Stomach","<a href='https://discovery.nci.nih.gov/cell-lines/cellminercdb/te-10_cvcl_1760.html' target='_blank'>details</a>"
"1670","te-11","oesophagus: squamous_cell_carcinoma;Esophagus;oesophagus;aero_dig_tract","Esophagus_Stomach","Esophageal Squamous Cell Carcinoma (ESCC);Esophagus Squamous;esophagus_squamous","","","","TE-11;TE11","ccle;gdscDec15;prism;achilles;gdsc1;gdsc2","TE-11","CVCL_1761","te-11","esophageal squamous cell carcinoma;esophagus squamous","","","Esophagus_Stomach","<a href='https://discovery.nci.nih.gov/cell-lines/cellminercdb/te-11_cvcl_1761.html' target='_blank'>details</a>"
"1671","te-12","aero_dig_tract","Esophagus_Stomach","","","","","TE-12","gdscDec15;gdsc1;gdsc2","TE-12","CVCL_1762","te-12","","","","Esophagus_Stomach","<a href='https://discovery.nci.nih.gov/cell-lines/cellminercdb/te-12_cvcl_1762.html' target='_blank'>details</a>"
"1672","te-125.t","soft_tissue: rhabdomyosarcoma","Soft_Tissue","Rhabdomyosarcoma (RMS)","","","","TE 125.T","ccle","TE 125.T","CVCL_1740","te-125.t","rhabdomyosarcoma","","","Soft_Tissue","<a href='https://discovery.nci.nih.gov/cell-lines/cellminercdb/te-125.t_cvcl_1740.html' target='_blank'>details</a>"
"1673","te-14","oesophagus: squamous_cell_carcinoma;Esophagus","Esophagus_Stomach","Esophageal Squamous Cell Carcinoma (ESCC);Esophagus Squamous","","","","TE-14;TE14","ccle;prism","TE-14","CVCL_3336","te-14","esophageal squamous cell carcinoma;esophagus squamous","","","Esophagus_Stomach","<a href='https://discovery.nci.nih.gov/cell-lines/cellminercdb/te-14_cvcl_3336.html' target='_blank'>details</a>"
"1674","te-15","oesophagus: squamous_cell_carcinoma;aero_dig_tract","Esophagus_Stomach","Esophageal Squamous Cell Carcinoma (ESCC)","","","","TE-15","ccle;gdscDec15;gdsc1;gdsc2","TE-15","CVCL_1763","te-15","esophageal squamous cell carcinoma","","","Esophagus_Stomach","<a href='https://discovery.nci.nih.gov/cell-lines/cellminercdb/te-15_cvcl_1763.html' target='_blank'>details</a>"
"1675","te-159.t","soft_tissue: rhabdomyosarcoma","Soft_Tissue","Rhabdomyosarcoma (RMS)","","","","TE 159.T","ccle","TE 159.T","CVCL_1743","te-159.t","rhabdomyosarcoma","","","Soft_Tissue","<a href='https://discovery.nci.nih.gov/cell-lines/cellminercdb/te-159.t_cvcl_1743.html' target='_blank'>details</a>"
"1676","te-4","oesophagus: squamous_cell_carcinoma;Esophagus;lymph_node;aero_dig_tract","Esophagus_Stomach","Esophageal Squamous Cell Carcinoma (ESCC);Esophagus Squamous;esophagus_squamous","","","","TE-4;TE4","ccle;gdscDec15;prism;achilles;gdsc1;gdsc2","TE-4","CVCL_3337","te-4","esophageal squamous cell carcinoma;esophagus squamous","","","Esophagus_Stomach","<a href='https://discovery.nci.nih.gov/cell-lines/cellminercdb/te-4_cvcl_3337.html' target='_blank'>details</a>"
"1677","te-441.t","soft_tissue: rhabdomyosarcoma;soft_tissue","Soft_Tissue","Rhabdomyosarcoma (RMS)","","","","TE 441.T;TE-441-T","ccle;gdscDec15;gdsc1;gdsc2","TE 441.T","CVCL_1754","te-441.t","rhabdomyosarcoma","","","Soft_Tissue","<a href='https://discovery.nci.nih.gov/cell-lines/cellminercdb/te-441.t_cvcl_1754.html' target='_blank'>details</a>"
"1678","te-5","oesophagus: squamous_cell_carcinoma;Esophagus;oesophagus;aero_dig_tract","Esophagus_Stomach","Esophageal Squamous Cell Carcinoma (ESCC);Esophagus Squamous;esophagus_squamous","","","","TE-5;TE5","ccle;gdscDec15;prism;achilles;gdsc1;gdsc2","TE-5","CVCL_1764","te-5","esophageal squamous cell carcinoma;esophagus squamous","","","Esophagus_Stomach","<a href='https://discovery.nci.nih.gov/cell-lines/cellminercdb/te-5_cvcl_1764.html' target='_blank'>details</a>"
"1679","te-6","oesophagus: squamous_cell_carcinoma;Esophagus;oesophagus;aero_dig_tract","Esophagus_Stomach","Esophageal Squamous Cell Carcinoma (ESCC);Esophagus Squamous;esophagus_squamous","","","","TE-6;TE6","ccle;gdscDec15;prism;achilles;gdsc1;gdsc2","TE-6","CVCL_1765","te-6","esophageal squamous cell carcinoma;esophagus squamous","","","Esophagus_Stomach","<a href='https://discovery.nci.nih.gov/cell-lines/cellminercdb/te-6_cvcl_1765.html' target='_blank'>details</a>"
"1680","te-617.t","soft_tissue: rhabdomyosarcoma","Soft_Tissue","Rhabdomyosarcoma (RMS)","","","","TE 617.T","ccle","TE 617.T","CVCL_1755","te-617.t","rhabdomyosarcoma","","","Soft_Tissue","<a href='https://discovery.nci.nih.gov/cell-lines/cellminercdb/te-617.t_cvcl_1755.html' target='_blank'>details</a>"
"1681","te-8","oesophagus: squamous_cell_carcinoma;Esophagus;oesophagus;aero_dig_tract","Esophagus_Stomach","Esophageal Squamous Cell Carcinoma (ESCC);Esophagus Squamous;esophagus_squamous","","","","TE-8;TE8","ccle;gdscDec15;prism;achilles;gdsc1;gdsc2","TE-8","CVCL_1766","te-8","esophageal squamous cell carcinoma;esophagus squamous","","","Esophagus_Stomach","<a href='https://discovery.nci.nih.gov/cell-lines/cellminercdb/te-8_cvcl_1766.html' target='_blank'>details</a>"
"1682","te-9","oesophagus: squamous_cell_carcinoma;Esophagus;pleural_effusion;aero_dig_tract","Esophagus_Stomach","Esophageal Squamous Cell Carcinoma (ESCC);Esophagus Squamous;esophagus_squamous","","","","TE-9;TE9","ccle;gdscDec15;prism;achilles;gdsc1;gdsc2","TE-9","CVCL_1767","te-9","esophageal squamous cell carcinoma;esophagus squamous","","","Esophagus_Stomach","<a href='https://discovery.nci.nih.gov/cell-lines/cellminercdb/te-9_cvcl_1767.html' target='_blank'>details</a>"
"1683","ten","endometrium: clear_cell_carcinoma;Uterus;endometrium","Uterus","Endometrial Carcinoma (UCEC);Clear Cell Carcinoma;clear_cell_carcinoma","Uterine Clear Cell Carcinoma (UCC);","","","TEN","ccle;prism;achilles","TEN","CVCL_E063","ten","endometrial carcinoma;clear cell carcinoma","uterine clear cell carcinoma;","","Uterus","<a href='https://discovery.nci.nih.gov/cell-lines/cellminercdb/ten_cvcl_e063.html' target='_blank'>details</a>"
"1684","tera-1","","Testis","Non-Seminomatous Germ Cell Tumor (NSGCT)","Embryonal Carcinoma (EMBCA)","","","Tera-1","gdscDec15","Tera-1","CVCL_2776","tera-1","non-seminomatous germ cell tumor","embryonal carcinoma","","Testis","<a href='https://discovery.nci.nih.gov/cell-lines/cellminercdb/tera-1_cvcl_2776.html' target='_blank'>details</a>"
"1685","tf-1","haematopoietic_and_lymphoid_tissue: acute_myeloid_leukaemia;bone_marrow","Blood","Leukemia (LEUK);AML","Acute Myeloid Leukemia (AML)","","","TF-1;TF1","ccle;gdscDec15;achilles","TF-1","CVCL_0559","tf-1","leukemia;aml","acute myeloid leukemia","","Blood","<a href='https://discovery.nci.nih.gov/cell-lines/cellminercdb/tf-1_cvcl_0559.html' target='_blank'>details</a>"
"1686","tfk-1","biliary_tract","Biliary_Tract","cholangiocarcinoma","extrahepatic","","","TFK1","achilles","TFK-1","CVCL_2214","tfk-1","cholangiocarcinoma","extrahepatic","","Biliary_Tract","<a href='https://discovery.nci.nih.gov/cell-lines/cellminercdb/tfk-1_cvcl_2214.html' target='_blank'>details</a>"
"1687","tgbc11tkb","stomach: carcinoma;STAD;digestive_system","Esophagus_Stomach","","","","","TGBC11TKB","ccle;gdscDec15;gdsc1;gdsc2","TGBC11TKB","CVCL_1768","tgbc11tkb","","","","Esophagus_Stomach","<a href='https://discovery.nci.nih.gov/cell-lines/cellminercdb/tgbc11tkb_cvcl_1768.html' target='_blank'>details</a>"
"1688","tgbc1tkb","digestive_system","Biliary_Tract","","","","","TGBC1TKB","gdscDec15;gdsc1;gdsc2","TGBC1TKB","CVCL_1769","tgbc1tkb","","","","Biliary_Tract","<a href='https://discovery.nci.nih.gov/cell-lines/cellminercdb/tgbc1tkb_cvcl_1769.html' target='_blank'>details</a>"
"1689","tgbc24tkb","digestive_system","Biliary_Tract","","","","","TGBC24TKB","gdscDec15;gdsc1;gdsc2","TGBC24TKB","CVCL_1770","tgbc24tkb","","","","Biliary_Tract","<a href='https://discovery.nci.nih.gov/cell-lines/cellminercdb/tgbc24tkb_cvcl_1770.html' target='_blank'>details</a>"
"1690","tgw","neuroblastoma","Brain_CNS","Embryonal Tumor (EMBT)","Neuroblastoma (NBL)","","","TGW","gdscDec15;gdsc1;gdsc2","TGW","CVCL_1771","tgw","embryonal tumor","neuroblastoma","","Brain_CNS","<a href='https://discovery.nci.nih.gov/cell-lines/cellminercdb/tgw_cvcl_1771.html' target='_blank'>details</a>"
"1691","thomas","Burkitt lymphoma","Lymph","","","","","Thomas","ancats","Thomas","CVCL_UB96","thomas","","","","Lymph","<a href='https://discovery.nci.nih.gov/cell-lines/cellminercdb/thomas_cvcl_ub96.html' target='_blank'>details</a>"
"1692","thp-1","haematopoietic_and_lymphoid_tissue: acute_myeloid_leukaemia;LAML;haematopoietic_and_lymphoid_tissue;leukemia","Blood","Leukemia (LEUK);AML","Acute Myeloid Leukemia (AML);M5","","","THP-1;THP1","ccle;gdscDec15;achilles;mdaMills;gdsc1;gdsc2","THP-1","CVCL_0006","thp-1","leukemia;aml","acute myeloid leukemia;m5","","Blood","<a href='https://discovery.nci.nih.gov/cell-lines/cellminercdb/thp-1_cvcl_0006.html' target='_blank'>details</a>"
"1693","tig-3-td","lung: immortalized_embryonic_fibroblast","Lung","","","","","TIG-3 TD","ccle","TIG-3 TD","CVCL_V617","tig-3-td","","","","Lung","<a href='https://discovery.nci.nih.gov/cell-lines/cellminercdb/tig-3-td_cvcl_v617.html' target='_blank'>details</a>"
"1694","tk-10","renal;KIRC;kidney","Kidney","Renal Cell Carcinoma (RCC)","","","","RE:TK-10;TK10","nci60;ccle;gdscDec15;mdaMills;gdsc1;gdsc2","TK-10","CVCL_1773","tk-10","renal cell carcinoma","","","Kidney","<a href='https://discovery.nci.nih.gov/cell-lines/cellminercdb/tk-10_cvcl_1773.html' target='_blank'>details</a>"
"1695","tlbr-1","Anaplastic large cell lymphoma, ALK-negative","Lymph","","","","","TLBR-1","ancats","TLBR-1","CVCL_L177","tlbr-1","","","","Lymph","<a href='https://discovery.nci.nih.gov/cell-lines/cellminercdb/tlbr-1_cvcl_l177.html' target='_blank'>details</a>"
"1696","tm-31","central_nervous_system: astrocytoma;Central Nervous System;central_nervous_system","Brain_CNS","Diffuse Glioma (DIFG);Glioma;glioma","Astrocytoma (ASTR);","","","TM-31;TM31","ccle;prism;achilles","TM-31","CVCL_6735","tm-31","diffuse glioma;glioma","astrocytoma;","","Brain_CNS","<a href='https://discovery.nci.nih.gov/cell-lines/cellminercdb/tm-31_cvcl_6735.html' target='_blank'>details</a>"
"1697","tm87-16","Soft_Tissue;Soft Tissue","Soft_Tissue","Malignant Rhabdoid Tumor","","","","TM87","ccle;prism","Tm87-16","CVCL_8001","tm87-16","malignant rhabdoid tumor","","","Soft_Tissue","<a href='https://discovery.nci.nih.gov/cell-lines/cellminercdb/tm87-16_cvcl_8001.html' target='_blank'>details</a>"
"1698","tmd8","Diffuse large B-cell lymphoma activated B-cell type","Lymph","","","","","TMD8","ancats","TMD8","CVCL_A442","tmd8","","","","Lymph","<a href='https://discovery.nci.nih.gov/cell-lines/cellminercdb/tmd8_cvcl_a442.html' target='_blank'>details</a>"
"1699","tmk-1","STAD;digestive_system","Esophagus_Stomach","Esophagogastric Adenocarcinoma (EGC)","Stomach Adenocarcinoma (STAD)","","","TMK-1","gdscDec15;gdsc1;gdsc2","TMK-1","CVCL_4384","tmk-1","esophagogastric adenocarcinoma","stomach adenocarcinoma","","Esophagus_Stomach","<a href='https://discovery.nci.nih.gov/cell-lines/cellminercdb/tmk-1_cvcl_4384.html' target='_blank'>details</a>"
"1700","to-175.t","haematopoietic_and_lymphoid_tissue: Hodgkin_lymphoma","Lymph","Hodgkin's Lymphoma (HL)","","","","TO 175.T","ccle","TO 175.T","CVCL_3806","to-175.t","hodgkin's lymphoma","","","Lymph","<a href='https://discovery.nci.nih.gov/cell-lines/cellminercdb/to-175.t_cvcl_3806.html' target='_blank'>details</a>"
"1701","to14","abdomen","Ovary","ovary_adenocarcinoma","","","","TO14","achilles","TO14","CVCL_2734","to14","ovary adenocarcinoma","","","Ovary","<a href='https://discovery.nci.nih.gov/cell-lines/cellminercdb/to14_cvcl_2734.html' target='_blank'>details</a>"
"1702","toledo","haematopoietic_and_lymphoid_tissue: diffuse_large_B_cell_lymphoma","Lymph","Non-Hodgkin's Lymphoma (NHL)","B-Cell Lymphoma (BCL)","Diffuse Large B-Cell Lymphoma (DLBCL)","","Toledo;TOLEDO","ccle;gdscDec15;mdaMills","Toledo","CVCL_3611","toledo","non-hodgkin's lymphoma","b-cell lymphoma","diffuse large b-cell lymphoma","Lymph","<a href='https://discovery.nci.nih.gov/cell-lines/cellminercdb/toledo_cvcl_3611.html' target='_blank'>details</a>"
"1703","tov-112d","ovary: endometrioid_carcinoma;OV;Ovary;ovary;urogenital_system","Ovary","Ovarian Epithelial Tumor (OVT);Ovary Adenocarcinoma;ovary_adenocarcinoma","Endometrioid Ovarian Cancer (EOV);Endometrioid;endometrioid","","","TOV-112D;TOV112D","ccle;gdscDec15;prism;achilles;mdaMills;gdsc1;gdsc2","TOV-112D","CVCL_3612","tov-112d","ovarian epithelial tumor;ovary adenocarcinoma","endometrioid ovarian cancer;endometrioid","","Ovary","<a href='https://discovery.nci.nih.gov/cell-lines/cellminercdb/tov-112d_cvcl_3612.html' target='_blank'>details</a>"
"1704","tov-21g","ovary: clear_cell_carcinoma;OV;Ovary;ovary;urogenital_system","Ovary","Ovarian Epithelial Tumor (OVT);Ovary Adenocarcinoma;ovary_adenocarcinoma","Clear Cell Ovarian Cancer (CCOV);Clear Cell;clear_cell","","","TOV-21G;TOV21G","ccle;gdscDec15;prism;achilles;mdaMills;gdsc1;gdsc2","TOV-21G","CVCL_3613","tov-21g","ovarian epithelial tumor;ovary adenocarcinoma","clear cell ovarian cancer;clear cell","","Ovary","<a href='https://discovery.nci.nih.gov/cell-lines/cellminercdb/tov-21g_cvcl_3613.html' target='_blank'>details</a>"
"1705","tr146","head and neck","Head_Neck","","","","","TR146","mdaMills","TR146","CVCL_2736","tr146","","","","Head_Neck","<a href='https://discovery.nci.nih.gov/cell-lines/cellminercdb/tr146_cvcl_2736.html' target='_blank'>details</a>"
"1706","tt","thyroid: medullary_carcinoma;THCA;Thyroid;thyroid","Thyroid","Medullary Thyroid Cancer (THME);Thyroid Squamous","","","","TT","ccle;gdscDec15;prism;gdsc1;gdsc2","TT","CVCL_1774","tt","medullary thyroid cancer;thyroid squamous","","","Thyroid","<a href='https://discovery.nci.nih.gov/cell-lines/cellminercdb/tt_cvcl_1774.html' target='_blank'>details</a>"
"1707","tt2609-c02","thyroid: follicular_carcinoma;THCA;Thyroid;thyroid","Thyroid","Follicular Thyroid Cancer (THFO);Thyroid Carcinoma","Follicular","","","TT2609-C02;TT2609C02","ccle;gdscDec15;prism;gdsc1;gdsc2","TT2609-C02","CVCL_2218","tt2609-c02","follicular thyroid cancer;thyroid carcinoma","follicular","","Thyroid","<a href='https://discovery.nci.nih.gov/cell-lines/cellminercdb/tt2609-c02_cvcl_2218.html' target='_blank'>details</a>"
"1708","ttc-1240","Soft_Tissue","Soft_Tissue","","","","","TTC1240","ccle","TTC-1240","CVCL_8002","ttc-1240","","","","Soft_Tissue","<a href='https://discovery.nci.nih.gov/cell-lines/cellminercdb/ttc-1240_cvcl_8002.html' target='_blank'>details</a>"
"1709","ttc-442","soft_tissue;sarcoma","Soft_Tissue","rhabdomyosarcoma;sarcoma","embryonal","","","TTC442","achilles;mdaMills","TTC-442","CVCL_B255","ttc-442","rhabdomyosarcoma;sarcoma","embryonal","","Soft_Tissue","<a href='https://discovery.nci.nih.gov/cell-lines/cellminercdb/ttc-442_cvcl_b255.html' target='_blank'>details</a>"
"1710","ttc-466","bone","Bone","","","","","TTC466","mdaMills","TTC-466","CVCL_A444","ttc-466","","","","Bone","<a href='https://discovery.nci.nih.gov/cell-lines/cellminercdb/ttc-466_cvcl_a444.html' target='_blank'>details</a>"
"1711","ttc-475","sarcoma","Soft_Tissue","","","","","TTC475","mdaMills","TTC-475","CVCL_IW46","ttc-475","","","","Soft_Tissue","<a href='https://discovery.nci.nih.gov/cell-lines/cellminercdb/ttc-475_cvcl_iw46.html' target='_blank'>details</a>"
"1712","ttc-547","sarcoma","Soft_Tissue","","","","","TTC547","mdaMills","TTC-547","CVCL_7152","ttc-547","","","","Soft_Tissue","<a href='https://discovery.nci.nih.gov/cell-lines/cellminercdb/ttc-547_cvcl_7152.html' target='_blank'>details</a>"
"1713","ttc-549","Soft_Tissue;soft_tissue","Soft_Tissue","malignant_rhabdoid_tumor","","","","TTC549","ccle;achilles","TTC-549","CVCL_8005","ttc-549","malignant rhabdoid tumor","","","Soft_Tissue","<a href='https://discovery.nci.nih.gov/cell-lines/cellminercdb/ttc-549_cvcl_8005.html' target='_blank'>details</a>"
"1714","ttc-642","Soft_Tissue;soft_tissue","Soft_Tissue","malignant_rhabdoid_tumor","","","","TTC642","ccle;achilles","TTC-642","CVCL_8006","ttc-642","malignant rhabdoid tumor","","","Soft_Tissue","<a href='https://discovery.nci.nih.gov/cell-lines/cellminercdb/ttc-642_cvcl_8006.html' target='_blank'>details</a>"
"1715","ttc-709","Soft_Tissue","Soft_Tissue","","","","","TTC709","ccle","TTC-709","CVCL_8007","ttc-709","","","","Soft_Tissue","<a href='https://discovery.nci.nih.gov/cell-lines/cellminercdb/ttc-709_cvcl_8007.html' target='_blank'>details</a>"
"1716","tu-oc-1","ovary","Ovary","","","","","TUOC1","mdaMills","TU-OC-1","CVCL_L700","tu-oc-1","","","","Ovary","<a href='https://discovery.nci.nih.gov/cell-lines/cellminercdb/tu-oc-1_cvcl_l700.html' target='_blank'>details</a>"
"1717","tuhr10tkb","kidney: carcinoma;kidney","Kidney","Renal Cell Carcinoma (RCC);renal_cell_carcinoma","","","","TUHR10TKB","ccle;achilles","TUHR10TKB","CVCL_5952","tuhr10tkb","renal cell carcinoma","","","Kidney","<a href='https://discovery.nci.nih.gov/cell-lines/cellminercdb/tuhr10tkb_cvcl_5952.html' target='_blank'>details</a>"
"1718","tuhr14tkb","kidney: carcinoma;kidney","Kidney","Renal Cell Carcinoma (RCC);renal_cell_carcinoma","","","","TUHR14TKB","ccle;achilles","TUHR14TKB","CVCL_5953","tuhr14tkb","renal cell carcinoma","","","Kidney","<a href='https://discovery.nci.nih.gov/cell-lines/cellminercdb/tuhr14tkb_cvcl_5953.html' target='_blank'>details</a>"
"1719","tuhr4tkb","kidney: carcinoma;Kidney;kidney","Kidney","Renal Cell Carcinoma (RCC);Renal Cell Carcinoma;renal_cell_carcinoma","","","","TUHR4TKB","ccle;prism;achilles","TUHR4TKB","CVCL_5957","tuhr4tkb","renal cell carcinoma","","","Kidney","<a href='https://discovery.nci.nih.gov/cell-lines/cellminercdb/tuhr4tkb_cvcl_5957.html' target='_blank'>details</a>"
"1720","tur","lymphoma","Lymph","Non-Hodgkin's Lymphoma (NHL)","B-Cell Lymphoma (BCL)","","","TUR","gdscDec15;gdsc1;gdsc2","TUR","CVCL_1775","tur","non-hodgkin's lymphoma","b-cell lymphoma","","Lymph","<a href='https://discovery.nci.nih.gov/cell-lines/cellminercdb/tur_cvcl_1775.html' target='_blank'>details</a>"
"1721","tyk-nu","ovary: undifferentiated_carcinoma;CANNOT_CLASSIFY;urogenital_system","Ovary","Ovarian Epithelial Tumor (OVT)","","","","TYK-nu;TYKNU","ccle;gdscDec15;mdaMills;gdsc1;gdsc2","TYK-nu","CVCL_1776","tyk-nu","ovarian epithelial tumor","","","Ovary","<a href='https://discovery.nci.nih.gov/cell-lines/cellminercdb/tyk-nu_cvcl_1776.html' target='_blank'>details</a>"
"1722","u-118mg","central_nervous_system: astrocytoma;GBM;Central Nervous System;central_nervous_system;nervous_system","Brain_CNS","Diffuse Glioma (DIFG);Glioma;glioma","Astrocytoma (ASTR);Astrocytoma;astrocytoma","","","U-118 MG;U-118-MG;U118MG","ccle;gdscDec15;prism;achilles;gdsc1;gdsc2","U-118MG","CVCL_0633","u-118mg","diffuse glioma;glioma","astrocytoma","","Brain_CNS","<a href='https://discovery.nci.nih.gov/cell-lines/cellminercdb/u-118mg_cvcl_0633.html' target='_blank'>details</a>"
"1723","u-138mg","central_nervous_system: astrocytoma","Brain_CNS","Diffuse Glioma (DIFG)","Astrocytoma (ASTR)","","","U-138 MG","ccle","U-138MG","CVCL_0020","u-138mg","diffuse glioma","astrocytoma","","Brain_CNS","<a href='https://discovery.nci.nih.gov/cell-lines/cellminercdb/u-138mg_cvcl_0020.html' target='_blank'>details</a>"
"1724","u-178mg","central_nervous_system: astrocytoma_Grade_IV","Brain_CNS","Diffuse Glioma (DIFG)","Astrocytoma (ASTR)","","","U-178","ccle","U-178MG","CVCL_A758","u-178mg","diffuse glioma","astrocytoma","","Brain_CNS","<a href='https://discovery.nci.nih.gov/cell-lines/cellminercdb/u-178mg_cvcl_a758.html' target='_blank'>details</a>"
"1725","u-251mg","central nervous system;central_nervous_system: astrocytoma;GBM;Central Nervous System;central_nervous_system;nervous_system","Brain_CNS","Diffuse Glioma (DIFG);Glioma;glioma","Astrocytoma (ASTR);Astrocytoma;astrocytoma","","","CNS:U251;U-251 MG;U251;U251MG","nci60;ccle;gdscDec15;prism;achilles;mdaMills;gdsc1;gdsc2","U-251MG","CVCL_0021","u-251mg","diffuse glioma;glioma","astrocytoma","","Brain_CNS","<a href='https://discovery.nci.nih.gov/cell-lines/cellminercdb/u-251mg_cvcl_0021.html' target='_blank'>details</a>"
"1726","u-2904","pleural_effusion","Lymph","lymphoma_unspecified","b_cell","","","U2904","achilles","U-2904","CVCL_X504","u-2904","lymphoma unspecified","b cell","","Lymph","<a href='https://discovery.nci.nih.gov/cell-lines/cellminercdb/u-2904_cvcl_x504.html' target='_blank'>details</a>"
"1727","u-2932","blood","Blood","","","","","U2932","mdaMills","U-2932","CVCL_1896","u-2932","","","","Blood","<a href='https://discovery.nci.nih.gov/cell-lines/cellminercdb/u-2932_cvcl_1896.html' target='_blank'>details</a>"
"1728","u-2940","blood","Blood","","","","","U2940","mdaMills","U-2940","CVCL_1897","u-2940","","","","Blood","<a href='https://discovery.nci.nih.gov/cell-lines/cellminercdb/u-2940_cvcl_1897.html' target='_blank'>details</a>"
"1729","u-343mga","central_nervous_system: astrocytoma_Grade_IV;central_nervous_system","Brain_CNS","Diffuse Glioma (DIFG);glioma","Astrocytoma (ASTR);glioblastoma","","","U343","ccle;achilles","U-343MGa","CVCL_4773","u-343mga","diffuse glioma;glioma","astrocytoma;glioblastoma","","Brain_CNS","<a href='https://discovery.nci.nih.gov/cell-lines/cellminercdb/u-343mga_cvcl_4773.html' target='_blank'>details</a>"
